"Date/Time","Year","Month","Day","Time","Temp","Weather"
"2012-01-01 00:00","2012","01","01","00:00","-2.1","Cloudy"
"2012-01-01 01:00","2012","01","01","01:00","-2.0","Cloudy"
"2012-01-01 02:00","2012","01","01","02:00","-1.9","Snow"
"2012-01-01 03:00","2012","01","01","03:00","-2.7","Snow"
"2012-01-01 04:00","2012","01","01","04:00","-3.9","Snow"
"2012-01-01 05:00","2012","01","01","05:00","-5.7","Mostly Cloudy"
"2012-01-01 06:00","2012","01","01","06:00","-7.1","Cloudy"
"2012-01-01 07:00","2012","01","01","07:00","-7.6","Cloudy"
"2012-01-01 08:00","2012","01","01","08:00","-8.6","Snow"
"2012-01-01 09:00","2012","01","01","09:00","-9.0","Snow"
"2012-01-01 10:00","2012","01","01","10:00","-9.0","Snow"
"2012-01-01 11:00","2012","01","01","11:00","-8.3","Snow"
"2012-01-01 12:00","2012","01","01","12:00","-7.4","Snow"
"2012-01-01 13:00","2012","01","01","13:00","-7.5","Snow"
"2012-01-01 14:00","2012","01","01","14:00","-7.2","Snow"
"2012-01-01 15:00","2012","01","01","15:00","-7.0","Snow"
"2012-01-01 16:00","2012","01","01","16:00","-7.1","Snow"
"2012-01-01 17:00","2012","01","01","17:00","-6.9","Snow"
"2012-01-01 18:00","2012","01","01","18:00","-7.4","Snow"
"2012-01-01 19:00","2012","01","01","19:00","-7.1","Snow"
"2012-01-01 20:00","2012","01","01","20:00","-7.7","Snow"
"2012-01-01 21:00","2012","01","01","21:00","-8.2","Snow"
"2012-01-01 22:00","2012","01","01","22:00","-9.8","Mostly Cloudy"
"2012-01-01 23:00","2012","01","01","23:00","-10.0","Mostly Cloudy"
"2012-01-02 00:00","2012","01","02","00:00","-9.9","Mostly Cloudy"
"2012-01-02 01:00","2012","01","02","01:00","-11.1","Snow"
"2012-01-02 02:00","2012","01","02","02:00","-11.3","Snow"
"2012-01-02 03:00","2012","01","02","03:00","-11.3","Snow"
"2012-01-02 04:00","2012","01","02","04:00","-11.1","Snow"
"2012-01-02 05:00","2012","01","02","05:00","-11.8","Snow"
"2012-01-02 06:00","2012","01","02","06:00","-12.5","Snow"
"2012-01-02 07:00","2012","01","02","07:00","-12.7","Snow"
"2012-01-02 08:00","2012","01","02","08:00","-14.9","Mainly Clear"
"2012-01-02 09:00","2012","01","02","09:00","-16.0","Mainly Clear"
"2012-01-02 10:00","2012","01","02","10:00","-15.8","Clear"
"2012-01-02 11:00","2012","01","02","11:00","-14.7","Clear"
"2012-01-02 12:00","2012","01","02","12:00","-14.3","Mainly Clear"
"2012-01-02 13:00","2012","01","02","13:00","-14.0","Mostly Cloudy"
"2012-01-02 14:00","2012","01","02","14:00","-14.0","Mostly Cloudy"
"2012-01-02 15:00","2012","01","02","15:00","-13.5","Mostly Cloudy"
