"Date/Time","Year","Month","Day","Time","Data Quality","Temp","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2012-07-01 00:00","2012","07","01","00:00"," ","20.9","","16.0","","74","","18","","7","","24.1","","98.14","","26","","","","Mainly Clear"
"2012-07-01 01:00","2012","07","01","01:00"," ","21.1","","15.7","","71","","20","","13","","24.1","","98.12","","26","","","","Clear"
"2012-07-01 02:00","2012","07","01","02:00"," ","17.5","","15.3","","87","","10","","7","","24.1","","98.13","","","","","","Clear"
"2012-07-01 03:00","2012","07","01","03:00"," ","18.3","","15.2","","82","","14","","4","","24.1","","98.15","","","","","","Mainly Clear"
"2012-07-01 04:00","2012","07","01","04:00"," ","17.2","","15.3","","89","","16","","11","","24.1","","98.16","","","","","","Clear"
"2012-07-01 05:00","2012","07","01","05:00"," ","16.8","","15.3","","91","","15","","9","","24.1","","98.19","","","","","","Clear"
"2012-07-01 06:00","2012","07","01","06:00"," ","18.6","","16.5","","88","","17","","9","","24.1","","98.22","","","","","","Clear"
"2012-07-01 07:00","2012","07","01","07:00"," ","20.9","","17.8","","82","","21","","6","","24.1","","98.24","","27","","","","Clear"
"2012-07-01 08:00","2012","07","01","08:00"," ","23.5","","18.7","","74","","20","","9","","24.1","","98.26","","30","","","","Clear"
"2012-07-01 09:00","2012","07","01","09:00"," ","25.8","","19.7","","69","","27","","6","","24.1","","98.28","","33","","","","Mainly Clear"
"2012-07-01 10:00","2012","07","01","10:00"," ","27.5","","19.5","","62","","19","","4","","24.1","","98.26","","35","","","","Clear"
"2012-07-01 11:00","2012","07","01","11:00"," ","28.3","","20.2","","62","","33","","6","","24.1","","98.27","","36","","","","Clear"
"2012-07-01 12:00","2012","07","01","12:00"," ","28.9","","20.9","","62","","31","","9","","24.1","","98.25","","37","","","","Mainly Clear"
"2012-07-01 13:00","2012","07","01","13:00"," ","29.8","","18.1","","49","","31","","7","","24.1","","98.24","","36","","","","Mainly Clear"
"2012-07-01 14:00","2012","07","01","14:00"," ","30.1","","17.2","","46","","36","","6","","24.1","","98.21","","36","","","","Mainly Clear"
"2012-07-01 15:00","2012","07","01","15:00"," ","30.5","","17.2","","45","","30","","6","","24.1","","98.21","","36","","","","Mainly Clear"
"2012-07-01 16:00","2012","07","01","16:00"," ","30.6","","18.7","","49","","28","","13","","24.1","","98.22","","37","","","","Mainly Clear"
"2012-07-01 17:00","2012","07","01","17:00"," ","30.1","","19.2","","52","","31","","7","","24.1","","98.17","","37","","","","Mainly Clear"
"2012-07-01 18:00","2012","07","01","18:00"," ","29.3","","20.6","","60","","33","","7","","24.1","","98.14","","37","","","","Mainly Clear"
"2012-07-01 19:00","2012","07","01","19:00"," ","28.6","","21.4","","65","","33","","7","","24.1","","98.13","","37","","","","Clear"
"2012-07-01 20:00","2012","07","01","20:00"," ","26.4","","19.6","","66","","6","","17","","24.1","","98.11","","34","","","","Mainly Clear"
"2012-07-01 21:00","2012","07","01","21:00"," ","23.8","","19.6","","77","","6","","11","","24.1","","98.14","","31","","","","Mainly Clear"
"2012-07-01 22:00","2012","07","01","22:00"," ","21.8","","19.2","","85","","4","","11","","24.1","","98.15","","29","","","","Clear"
"2012-07-01 23:00","2012","07","01","23:00"," ","20.1","","18.7","","92","","3","","7","","24.1","","98.15","","27","","","","Mainly Clear"
"2012-07-02 00:00","2012","07","02","00:00"," ","20.9","","18.9","","88","","7","","6","","24.1","","98.10","","28","","","","Mainly Clear"
"2012-07-02 01:00","2012","07","02","01:00"," ","18.9","","17.8","","93","","3","","4","","24.1","","98.11","","","","","","Mainly Clear"
"2012-07-02 02:00","2012","07","02","02:00"," ","19.7","","18.4","","92","","2","","9","","24.1","","98.10","","","","","","Mostly Cloudy"
"2012-07-02 03:00","2012","07","02","03:00"," ","19.2","","18.0","","93","","4","","7","","24.1","","98.01","","","","","","Mostly Cloudy"
"2012-07-02 04:00","2012","07","02","04:00"," ","18.8","","17.8","","94","","3","","11","","24.1","","98.02","","","","","","Mostly Cloudy"
"2012-07-02 05:00","2012","07","02","05:00"," ","18.7","","17.4","","92","","9","","4","","16.1","","97.99","","","","","","Mostly Cloudy"
"2012-07-02 06:00","2012","07","02","06:00"," ","20.8","","18.8","","88","","6","","7","","16.1","","97.98","","27","","","","Mainly Clear"
"2012-07-02 07:00","2012","07","02","07:00"," ","22.1","","19.6","","86","","36","","6","","19.3","","98.10","","29","","","","Mainly Clear"
"2012-07-02 08:00","2012","07","02","08:00"," ","25.3","","19.9","","72","","17","","6","","19.3","","98.05","","33","","","","Mostly Cloudy"
"2012-07-02 09:00","2012","07","02","09:00"," ","27.1","","21.6","","72","","17","","7","","19.3","","98.00","","36","","","","Mostly Cloudy"
"2012-07-02 10:00","2012","07","02","10:00"," ","29.6","","22.3","","65","","10","","13","","19.3","","97.88","","39","","","","Mostly Cloudy"
"2012-07-02 11:00","2012","07","02","11:00"," ","29.3","","23.1","","69","","24","","7","","19.3","","97.99","","40","","","","Mostly Cloudy"
"2012-07-02 12:00","2012","07","02","12:00"," ","28.6","","24.0","","76","","19","","22","","19.3","","97.87","","40","","","","Cloudy"
"2012-07-02 13:00","2012","07","02","13:00"," ","27.5","","23.1","","77","","28","","17","","19.3","","97.67","","38","","","","Cloudy"
"2012-07-02 14:00","2012","07","02","14:00"," ","27.9","","24.0","","79","","28","","15","","19.3","","97.65","","39","","","","Mostly Cloudy"
"2012-07-02 15:00","2012","07","02","15:00"," ","30.0","","21.1","","59","","27","","15","","19.3","","97.70","","39","","","","Mostly Cloudy"
"2012-07-02 16:00","2012","07","02","16:00"," ","31.2","","21.2","","55","","28","","20","","19.3","","97.75","","40","","","","Mainly Clear"
"2012-07-02 17:00","2012","07","02","17:00"," ","31.3","","20.4","","52","","25","","17","","24.1","","97.72","","39","","","","Mainly Clear"
"2012-07-02 18:00","2012","07","02","18:00"," ","30.5","","23.7","","67","","30","","17","","19.3","","97.71","","41","","","","Mainly Clear"
"2012-07-02 19:00","2012","07","02","19:00"," ","27.8","","21.8","","70","","30","","11","","19.3","","97.69","","37","","","","Mainly Clear"
"2012-07-02 20:00","2012","07","02","20:00"," ","25.2","","21.4","","79","","30","","11","","24.1","","97.69","","34","","","","Mainly Clear"
